TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:04.766656;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;2243505564:2243505672,;1972915080,;312,;[nop,nop,TS;108
11:42:04.766694;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;108:144,;1,;312,;[nop,nop,TS;36
11:42:04.766723;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;144:252,;1,;312,;[nop,nop,TS;108
11:42:04.766744;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;252:288,;1,;312,;[nop,nop,TS;36
11:42:04.785366;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;108,;7319,;[nop,nop,TS;0
11:42:04.785384;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;144,;7318,;[nop,nop,TS;0
11:42:04.785406;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;252,;7316,;[nop,nop,TS;0
11:42:04.785454;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;288,;7320,;[nop,nop,TS;0
11:42:05.768334;BP-Linux8.58466;ns1.lan.rt.domain:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:05.769075;ns1.lan.rt.domain;BP-Linux8.58466:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:06.669393;192.168.190.130.50245;BP-Linux8.ssh:;[P.],;1601828178:1601828214,;1851233244,;2048,;[nop,nop,TS;36
11:42:06.669906;BP-Linux8.ssh;192.168.190.130.50245:;[P.],;1:37,;36,;291,;[nop,nop,TS;36
11:42:06.679262;BP-Linux8.53220;ns1.lan.rt.domain:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:06.679971;ns1.lan.rt.domain;BP-Linux8.53220:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:06.681188;BP-Linux8.ssh;192.168.190.130.50245:;[P.],;37:153,;36,;291,;[nop,nop,TS;116
11:42:06.681222;BP-Linux8.ssh;192.168.190.130.50245:;[P.],;153:189,;36,;291,;[nop,nop,TS;36
11:42:06.681248;190-0-175-100.gba.solunet.com.ar.2465;184.107.43.74.http:;[S],;326991629:326991749,;Vide;512,;Vide;120:
11:42:06.681274;190-0-175-100.gba.solunet.com.ar.2466;184.107.43.74.http:;[S],;920517760:920517880,;Vide;512,;Vide;120:
11:42:06.681294;190-0-175-100.gba.solunet.com.ar.2467;184.107.43.74.http:;[S],;556803824:556803944,;Vide;512,;Vide;120:
11:42:06.681312;190-0-175-100.gba.solunet.com.ar.2468;184.107.43.74.http:;[S],;1921632185:1921632305,;Vide;512,;Vide;120:
11:42:06.681328;190-0-175-100.gba.solunet.com.ar.2469;184.107.43.74.http:;[S],;1170972654:1170972774,;Vide;512,;Vide;120:
11:42:06.681345;190-0-175-100.gba.solunet.com.ar.2470;184.107.43.74.http:;[S],;754504426:754504546,;Vide;512,;Vide;120:
11:42:06.681362;190-0-175-100.gba.solunet.com.ar.2471;184.107.43.74.http:;[S],;669863147:669863267,;Vide;512,;Vide;120:
11:42:06.681379;190-0-175-100.gba.solunet.com.ar.2472;184.107.43.74.http:;[S],;1036593434:1036593554,;Vide;512,;Vide;120:
11:42:06.681396;190-0-175-100.gba.solunet.com.ar.2473;184.107.43.74.http:;[S],;473640609:473640729,;Vide;512,;Vide;120:
11:42:06.681413;190-0-175-100.gba.solunet.com.ar.2474;184.107.43.74.http:;[S],;294639309:294639429,;Vide;512,;Vide;120:
11:42:06.681430;190-0-175-100.gba.solunet.com.ar.2475;184.107.43.74.http:;[S],;2003734750:2003734870,;Vide;512,;Vide;120:
11:42:06.681446;190-0-175-100.gba.solunet.com.ar.2476;184.107.43.74.http:;[S],;943277646:943277766,;Vide;512,;Vide;120:
11:42:06.681463;190-0-175-100.gba.solunet.com.ar.2477;184.107.43.74.http:;[S],;612921749:612921869,;Vide;512,;Vide;120:
11:42:06.681480;190-0-175-100.gba.solunet.com.ar.2478;184.107.43.74.http:;[S],;1079269685:1079269805,;Vide;512,;Vide;120:
11:42:06.681497;190-0-175-100.gba.solunet.com.ar.2479;184.107.43.74.http:;[S],;1427118982:1427119102,;Vide;512,;Vide;120:
11:42:06.681514;190-0-175-100.gba.solunet.com.ar.2480;184.107.43.74.http:;[S],;1481846896:1481847016,;Vide;512,;Vide;120:
11:42:06.681531;190-0-175-100.gba.solunet.com.ar.2481;184.107.43.74.http:;[S],;807245684:807245804,;Vide;512,;Vide;120:
11:42:06.681548;190-0-175-100.gba.solunet.com.ar.2482;184.107.43.74.http:;[S],;29032482:29032602,;Vide;512,;Vide;120:
11:42:06.681564;190-0-175-100.gba.solunet.com.ar.2483;184.107.43.74.http:;[S],;2121432424:2121432544,;Vide;512,;Vide;120:
11:42:06.681581;190-0-175-100.gba.solunet.com.ar.2484;184.107.43.74.http:;[S],;266983944:266984064,;Vide;512,;Vide;120:
11:42:06.681597;190-0-175-100.gba.solunet.com.ar.2485;184.107.43.74.http:;[S],;780253659:780253779,;Vide;512,;Vide;120:
11:42:06.681614;190-0-175-100.gba.solunet.com.ar.2486;184.107.43.74.http:;[S],;426927737:426927857,;Vide;512,;Vide;120:
11:42:06.681630;190-0-175-100.gba.solunet.com.ar.2487;184.107.43.74.http:;[S],;2059846495:2059846615,;Vide;512,;Vide;120:
11:42:06.681647;190-0-175-100.gba.solunet.com.ar.2488;184.107.43.74.http:;[S],;485695892:485696012,;Vide;512,;Vide;120:
11:42:06.681664;190-0-175-100.gba.solunet.com.ar.2489;184.107.43.74.http:;[S],;1506899314:1506899434,;Vide;512,;Vide;120:
11:42:06.681681;190-0-175-100.gba.solunet.com.ar.2490;184.107.43.74.http:;[S],;1974670292:1974670412,;Vide;512,;Vide;120:
11:42:06.681697;190-0-175-100.gba.solunet.com.ar.2491;184.107.43.74.http:;[S],;984948282:984948402,;Vide;512,;Vide;120:
11:42:06.681722;190-0-175-100.gba.solunet.com.ar.2492;184.107.43.74.http:;[S],;2071134208:2071134328,;Vide;512,;Vide;120:
11:42:06.681739;190-0-175-100.gba.solunet.com.ar.2493;184.107.43.74.http:;[S],;582048290:582048410,;Vide;512,;Vide;120:
11:42:06.681756;190-0-175-100.gba.solunet.com.ar.2494;184.107.43.74.http:;[S],;1414722580:1414722700,;Vide;512,;Vide;120:
11:42:06.681773;190-0-175-100.gba.solunet.com.ar.2495;184.107.43.74.http:;[S],;1376167161:1376167281,;Vide;512,;Vide;120:
11:42:06.681789;190-0-175-100.gba.solunet.com.ar.2496;184.107.43.74.http:;[S],;793373662:793373782,;Vide;512,;Vide;120:
11:42:06.681806;190-0-175-100.gba.solunet.com.ar.2497;184.107.43.74.http:;[S],;586859843:586859963,;Vide;512,;Vide;120:
11:42:06.681823;190-0-175-100.gba.solunet.com.ar.2498;184.107.43.74.http:;[S],;1313429529:1313429649,;Vide;512,;Vide;120:
11:42:06.681839;190-0-175-100.gba.solunet.com.ar.2499;184.107.43.74.http:;[S],;599747608:599747728,;Vide;512,;Vide;120:
11:42:06.681856;190-0-175-100.gba.solunet.com.ar.2500;184.107.43.74.http:;[S],;1764270382:1764270502,;Vide;512,;Vide;120:
11:42:06.681872;190-0-175-100.gba.solunet.com.ar.2501;184.107.43.74.http:;[S],;1266534982:1266535102,;Vide;512,;Vide;120:
11:42:06.681889;190-0-175-100.gba.solunet.com.ar.2502;184.107.43.74.http:;[S],;1923888203:1923888323,;Vide;512,;Vide;120:
11:42:06.681906;190-0-175-100.gba.solunet.com.ar.2503;184.107.43.74.http:;[S],;477956184:477956304,;Vide;512,;Vide;120:
11:42:06.681924;190-0-175-100.gba.solunet.com.ar.2504;184.107.43.74.http:;[S],;1697346829:1697346949,;Vide;512,;Vide;120:
11:42:06.681941;190-0-175-100.gba.solunet.com.ar.2505;184.107.43.74.http:;[S],;1581732153:1581732273,;Vide;512,;Vide;120:
11:42:06.681958;190-0-175-100.gba.solunet.com.ar.2506;184.107.43.74.http:;[S],;2134846905:2134847025,;Vide;512,;Vide;120:
11:42:06.681975;190-0-175-100.gba.solunet.com.ar.2507;184.107.43.74.http:;[S],;5001436:5001556,;Vide;512,;Vide;120:
11:42:06.681992;190-0-175-100.gba.solunet.com.ar.2508;184.107.43.74.http:;[S],;100084791:100084911,;Vide;512,;Vide;120:
11:42:06.682008;190-0-175-100.gba.solunet.com.ar.2509;184.107.43.74.http:;[S],;1351883007:1351883127,;Vide;512,;Vide;120:
11:42:06.682025;190-0-175-100.gba.solunet.com.ar.2510;184.107.43.74.http:;[S],;892547770:892547890,;Vide;512,;Vide;120:
11:42:06.682041;190-0-175-100.gba.solunet.com.ar.2511;184.107.43.74.http:;[S],;203925976:203926096,;Vide;512,;Vide;120:
11:42:06.682058;190-0-175-100.gba.solunet.com.ar.2512;184.107.43.74.http:;[S],;93263311:93263431,;Vide;512,;Vide;120:
11:42:06.682075;190-0-175-100.gba.solunet.com.ar.2513;184.107.43.74.http:;[S],;589592255:589592375,;Vide;512,;Vide;120:
11:42:06.682092;190-0-175-100.gba.solunet.com.ar.2514;184.107.43.74.http:;[S],;1666861586:1666861706,;Vide;512,;Vide;120:
11:42:06.682108;190-0-175-100.gba.solunet.com.ar.2515;184.107.43.74.http:;[S],;1444571600:1444571720,;Vide;512,;Vide;120:
11:42:06.682125;190-0-175-100.gba.solunet.com.ar.2516;184.107.43.74.http:;[S],;702975955:702976075,;Vide;512,;Vide;120:
11:42:06.682152;190-0-175-100.gba.solunet.com.ar.2517;184.107.43.74.http:;[S],;2016486038:2016486158,;Vide;512,;Vide;120:
11:42:06.682172;190-0-175-100.gba.solunet.com.ar.2518;184.107.43.74.http:;[S],;1002497398:1002497518,;Vide;512,;Vide;120:
11:42:06.682191;190-0-175-100.gba.solunet.com.ar.2519;184.107.43.74.http:;[S],;294189577:294189697,;Vide;512,;Vide;120:
11:42:06.682210;190-0-175-100.gba.solunet.com.ar.2520;184.107.43.74.http:;[S],;1398461889:1398462009,;Vide;512,;Vide;120:
11:42:06.682227;190-0-175-100.gba.solunet.com.ar.2521;184.107.43.74.http:;[S],;1995017329:1995017449,;Vide;512,;Vide;120:
11:42:06.682243;190-0-175-100.gba.solunet.com.ar.2522;184.107.43.74.http:;[S],;921320533:921320653,;Vide;512,;Vide;120:
11:42:06.682259;190-0-175-100.gba.solunet.com.ar.2523;184.107.43.74.http:;[S],;248505708:248505828,;Vide;512,;Vide;120:
11:42:06.682276;190-0-175-100.gba.solunet.com.ar.2524;184.107.43.74.http:;[S],;558621145:558621265,;Vide;512,;Vide;120:
11:42:06.682292;190-0-175-100.gba.solunet.com.ar.2525;184.107.43.74.http:;[S],;1118905776:1118905896,;Vide;512,;Vide;120:
11:42:06.682308;190-0-175-100.gba.solunet.com.ar.2526;184.107.43.74.http:;[S],;1158043116:1158043236,;Vide;512,;Vide;120:
11:42:06.682325;190-0-175-100.gba.solunet.com.ar.2527;184.107.43.74.http:;[S],;1469406826:1469406946,;Vide;512,;Vide;120:
11:42:06.682341;190-0-175-100.gba.solunet.com.ar.2528;184.107.43.74.http:;[S],;492373102:492373222,;Vide;512,;Vide;120:
11:42:06.682357;190-0-175-100.gba.solunet.com.ar.2529;184.107.43.74.http:;[S],;1687855121:1687855241,;Vide;512,;Vide;120:
11:42:06.682374;190-0-175-100.gba.solunet.com.ar.2530;184.107.43.74.http:;[S],;1360633195:1360633315,;Vide;512,;Vide;120:
11:42:06.682390;190-0-175-100.gba.solunet.com.ar.2531;184.107.43.74.http:;[S],;1274977706:1274977826,;Vide;512,;Vide;120:
11:42:06.682407;190-0-175-100.gba.solunet.com.ar.2532;184.107.43.74.http:;[S],;549939990:549940110,;Vide;512,;Vide;120:
11:42:06.682423;190-0-175-100.gba.solunet.com.ar.2533;184.107.43.74.http:;[S],;1109408249:1109408369,;Vide;512,;Vide;120:
11:42:06.682439;190-0-175-100.gba.solunet.com.ar.2534;184.107.43.74.http:;[S],;1283855019:1283855139,;Vide;512,;Vide;120:
11:42:06.682455;190-0-175-100.gba.solunet.com.ar.2535;184.107.43.74.http:;[S],;623143483:623143603,;Vide;512,;Vide;120:
11:42:06.682472;190-0-175-100.gba.solunet.com.ar.2536;184.107.43.74.http:;[S],;709005792:709005912,;Vide;512,;Vide;120:
11:42:06.682488;190-0-175-100.gba.solunet.com.ar.2537;184.107.43.74.http:;[S],;1528805205:1528805325,;Vide;512,;Vide;120:
11:42:06.682504;190-0-175-100.gba.solunet.com.ar.2538;184.107.43.74.http:;[S],;940059508:940059628,;Vide;512,;Vide;120:
11:42:06.682521;190-0-175-100.gba.solunet.com.ar.2539;184.107.43.74.http:;[S],;1190337142:1190337262,;Vide;512,;Vide;120:
11:42:06.682537;190-0-175-100.gba.solunet.com.ar.2540;184.107.43.74.http:;[S],;1484037464:1484037584,;Vide;512,;Vide;120:
11:42:06.682553;190-0-175-100.gba.solunet.com.ar.2541;184.107.43.74.http:;[S],;566224598:566224718,;Vide;512,;Vide;120:
11:42:06.682570;190-0-175-100.gba.solunet.com.ar.2542;184.107.43.74.http:;[S],;788308167:788308287,;Vide;512,;Vide;120:
11:42:06.682586;190-0-175-100.gba.solunet.com.ar.2543;184.107.43.74.http:;[S],;96067834:96067954,;Vide;512,;Vide;120:
11:42:06.682602;190-0-175-100.gba.solunet.com.ar.2544;184.107.43.74.http:;[S],;1226579504:1226579624,;Vide;512,;Vide;120:
11:42:06.682619;190-0-175-100.gba.solunet.com.ar.2545;184.107.43.74.http:;[S],;1551737466:1551737586,;Vide;512,;Vide;120:
11:42:06.682635;190-0-175-100.gba.solunet.com.ar.2546;184.107.43.74.http:;[S],;368629672:368629792,;Vide;512,;Vide;120:
11:42:06.682652;190-0-175-100.gba.solunet.com.ar.2547;184.107.43.74.http:;[S],;527715727:527715847,;Vide;512,;Vide;120:
11:42:06.682668;190-0-175-100.gba.solunet.com.ar.2548;184.107.43.74.http:;[S],;1897998019:1897998139,;Vide;512,;Vide;120:
11:42:06.682684;190-0-175-100.gba.solunet.com.ar.2549;184.107.43.74.http:;[S],;1187006652:1187006772,;Vide;512,;Vide;120:
11:42:06.682700;190-0-175-100.gba.solunet.com.ar.2550;184.107.43.74.http:;[S],;836414851:836414971,;Vide;512,;Vide;120:
11:42:06.682717;190-0-175-100.gba.solunet.com.ar.2551;184.107.43.74.http:;[S],;97200857:97200977,;Vide;512,;Vide;120:
11:42:06.682733;190-0-175-100.gba.solunet.com.ar.2552;184.107.43.74.http:;[S],;964382000:964382120,;Vide;512,;Vide;120:
11:42:06.682749;190-0-175-100.gba.solunet.com.ar.2553;184.107.43.74.http:;[S],;64311516:64311636,;Vide;512,;Vide;120:
11:42:06.682765;190-0-175-100.gba.solunet.com.ar.2554;184.107.43.74.http:;[S],;1940462409:1940462529,;Vide;512,;Vide;120:
11:42:06.682782;190-0-175-100.gba.solunet.com.ar.2555;184.107.43.74.http:;[S],;709004881:709005001,;Vide;512,;Vide;120:
11:42:06.682798;190-0-175-100.gba.solunet.com.ar.2556;184.107.43.74.http:;[S],;1783812004:1783812124,;Vide;512,;Vide;120:
11:42:06.682814;190-0-175-100.gba.solunet.com.ar.2557;184.107.43.74.http:;[S],;2027959598:2027959718,;Vide;512,;Vide;120:
11:42:06.682832;190-0-175-100.gba.solunet.com.ar.2558;184.107.43.74.http:;[S],;763370841:763370961,;Vide;512,;Vide;120:
11:42:06.682848;190-0-175-100.gba.solunet.com.ar.2559;184.107.43.74.http:;[S],;629902483:629902603,;Vide;512,;Vide;120:
11:42:06.682865;190-0-175-100.gba.solunet.com.ar.2560;184.107.43.74.http:;[S],;1167925997:1167926117,;Vide;512,;Vide;120:
11:42:06.682881;190-0-175-100.gba.solunet.com.ar.2561;184.107.43.74.http:;[S],;1590590930:1590591050,;Vide;512,;Vide;120:
11:42:06.682898;190-0-175-100.gba.solunet.com.ar.2562;184.107.43.74.http:;[S],;1025391341:1025391461,;Vide;512,;Vide;120:
11:42:06.682915;190-0-175-100.gba.solunet.com.ar.2563;184.107.43.74.http:;[S],;22267219:22267339,;Vide;512,;Vide;120:
11:42:06.682931;190-0-175-100.gba.solunet.com.ar.2564;184.107.43.74.http:;[S],;1838110461:1838110581,;Vide;512,;Vide;120:
11:42:06.682947;190-0-175-100.gba.solunet.com.ar.2565;184.107.43.74.http:;[S],;1314325144:1314325264,;Vide;512,;Vide;120:
11:42:06.682964;190-0-175-100.gba.solunet.com.ar.2566;184.107.43.74.http:;[S],;1221538397:1221538517,;Vide;512,;Vide;120:
11:42:06.682980;190-0-175-100.gba.solunet.com.ar.2567;184.107.43.74.http:;[S],;121272366:121272486,;Vide;512,;Vide;120:
11:42:06.682997;190-0-175-100.gba.solunet.com.ar.2568;184.107.43.74.http:;[S],;1689815904:1689816024,;Vide;512,;Vide;120:
11:42:06.683013;190-0-175-100.gba.solunet.com.ar.2569;184.107.43.74.http:;[S],;424777574:424777694,;Vide;512,;Vide;120:
11:42:06.683038;190-0-175-100.gba.solunet.com.ar.2570;184.107.43.74.http:;[S],;1811461816:1811461936,;Vide;512,;Vide;120:
11:42:06.683058;190-0-175-100.gba.solunet.com.ar.2571;184.107.43.74.http:;[S],;891455149:891455269,;Vide;512,;Vide;120:
11:42:06.683077;190-0-175-100.gba.solunet.com.ar.2572;184.107.43.74.http:;[S],;378465819:378465939,;Vide;512,;Vide;120:
11:42:06.683096;190-0-175-100.gba.solunet.com.ar.2573;184.107.43.74.http:;[S],;1060801994:1060802114,;Vide;512,;Vide;120:
11:42:06.683115;190-0-175-100.gba.solunet.com.ar.2574;184.107.43.74.http:;[S],;887047860:887047980,;Vide;512,;Vide;120:
11:42:06.683131;190-0-175-100.gba.solunet.com.ar.2575;184.107.43.74.http:;[S],;1083782921:1083783041,;Vide;512,;Vide;120:
11:42:06.683148;190-0-175-100.gba.solunet.com.ar.2576;184.107.43.74.http:;[S],;1055260995:1055261115,;Vide;512,;Vide;120:
11:42:06.683164;190-0-175-100.gba.solunet.com.ar.2577;184.107.43.74.http:;[S],;1170111755:1170111875,;Vide;512,;Vide;120:
11:42:06.683181;190-0-175-100.gba.solunet.com.ar.2578;184.107.43.74.http:;[S],;1956050927:1956051047,;Vide;512,;Vide;120:
11:42:06.683197;190-0-175-100.gba.solunet.com.ar.2579;184.107.43.74.http:;[S],;1016109235:1016109355,;Vide;512,;Vide;120:
11:42:06.683214;190-0-175-100.gba.solunet.com.ar.2580;184.107.43.74.http:;[S],;1684776979:1684777099,;Vide;512,;Vide;120:
11:42:06.683230;190-0-175-100.gba.solunet.com.ar.2581;184.107.43.74.http:;[S],;503501716:503501836,;Vide;512,;Vide;120:
11:42:06.683246;190-0-175-100.gba.solunet.com.ar.2582;184.107.43.74.http:;[S],;1864451598:1864451718,;Vide;512,;Vide;120:
11:42:06.683262;190-0-175-100.gba.solunet.com.ar.mon;184.107.43.74.http:;[S],;289557681:289557801,;Vide;512,;Vide;120:
11:42:06.683279;190-0-175-100.gba.solunet.com.ar.2584;184.107.43.74.http:;[S],;138098778:138098898,;Vide;512,;Vide;120:
11:42:06.683295;190-0-175-100.gba.solunet.com.ar.2585;184.107.43.74.http:;[S],;1203053650:1203053770,;Vide;512,;Vide;120:
11:42:06.683311;190-0-175-100.gba.solunet.com.ar.2586;184.107.43.74.http:;[S],;2045943531:2045943651,;Vide;512,;Vide;120:
11:42:06.683328;190-0-175-100.gba.solunet.com.ar.2587;184.107.43.74.http:;[S],;155613128:155613248,;Vide;512,;Vide;120:
11:42:06.683344;190-0-175-100.gba.solunet.com.ar.2588;184.107.43.74.http:;[S],;1854989337:1854989457,;Vide;512,;Vide;120:
11:42:06.683360;190-0-175-100.gba.solunet.com.ar.2589;184.107.43.74.http:;[S],;1464992055:1464992175,;Vide;512,;Vide;120:
11:42:06.683376;190-0-175-100.gba.solunet.com.ar.2590;184.107.43.74.http:;[S],;1763007414:1763007534,;Vide;512,;Vide;120:
11:42:06.683393;190-0-175-100.gba.solunet.com.ar.2591;184.107.43.74.http:;[S],;1769477762:1769477882,;Vide;512,;Vide;120:
11:42:06.683409;190-0-175-100.gba.solunet.com.ar.2592;184.107.43.74.http:;[S],;927510383:927510503,;Vide;512,;Vide;120:
11:42:06.683426;190-0-175-100.gba.solunet.com.ar.2593;184.107.43.74.http:;[S],;262496618:262496738,;Vide;512,;Vide;120:
11:42:06.683442;190-0-175-100.gba.solunet.com.ar.2594;184.107.43.74.http:;[S],;1944187333:1944187453,;Vide;512,;Vide;120:
11:42:06.683458;190-0-175-100.gba.solunet.com.ar.2595;184.107.43.74.http:;[S],;1368242046:1368242166,;Vide;512,;Vide;120:
